panel,dataset,condition,metric,value,x,y,stamp
gravity,IH,Native,R@1,69.062500000,,,
gravity,IH,Native,R@5,86.875000000,,,
gravity,IH,+G,R@1,69.375000000,,,
gravity,IH,+G,R@5,86.875000000,,,
gravity,CH,Native,R@1,51.351351351,,,
gravity,CH,Native,R@5,70.270270270,,,
gravity,CH,+G,R@1,64.189189189,,,
gravity,CH,+G,R@5,87.162162162,,,
split,IH,Fixed 2.5 m,R@1,68.437500000,,,
split,IH,Fixed 2.5 m,R@5,87.187500000,,,
split,IH,Adaptive,R@1,69.375000000,,,
split,IH,Adaptive,R@5,86.875000000,,,
split,CH,Fixed 2.5 m,R@1,64.189189189,,,
split,CH,Fixed 2.5 m,R@5,86.486486486,,,
split,CH,Adaptive,R@1,64.189189189,,,
split,CH,Adaptive,R@5,87.162162162,,,
split,H1→H2,Fixed 2.5 m,R@1,48.275862069,,,
split,H1→H2,Fixed 2.5 m,R@5,68.965517241,,,
split,H1→H2,Adaptive,R@1,48.275862069,,,
split,H1→H2,Adaptive,R@5,70.689655172,,,
split,H1→V1,Fixed 2.5 m,R@1,54.385964912,,,
split,H1→V1,Fixed 2.5 m,R@5,80.701754386,,,
split,H1→V1,Adaptive,R@1,54.385964912,,,
split,H1→V1,Adaptive,R@5,82.456140351,,,
trajectory,,map,,,0.000000000,0.000000000,1764589611.590759277
trajectory,,map,,,0.047273488,0.152136791,1764589621.453962326
trajectory,,map,,,-0.028882912,0.350820304,1764589621.863075733
trajectory,,map,,,-0.208052294,0.557603586,1764589622.268203735
trajectory,,map,,,-0.493895646,0.822152012,1764589622.673323870
trajectory,,map,,,-0.852231187,1.184129065,1764589623.082448483
trajectory,,map,,,-1.225927225,1.538158506,1764589623.487568378
trajectory,,map,,,-1.604434795,1.949779800,1764589623.896701336
trajectory,,map,,,-2.001880153,2.321549432,1764589624.301830053
trajectory,,map,,,-2.335740506,2.695188007,1764589624.706950188
trajectory,,map,,,-2.686434311,3.114459309,1764589625.116069794
trajectory,,map,,,-3.093042566,3.483428956,1764589625.521189928
trajectory,,map,,,-3.489063560,3.830587679,1764589625.930304766
trajectory,,map,,,-3.963804625,4.210152736,1764589626.335427761
trajectory,,map,,,-4.453637494,4.468418511,1764589626.740547895
trajectory,,map,,,-4.951616440,4.713202492,1764589627.149667501
trajectory,,map,,,-5.537791388,4.925170739,1764589627.554787636
trajectory,,map,,,-6.078332894,5.080744131,1764589627.963897228
trajectory,,map,,,-6.651998520,5.258762803,1764589628.369030237
trajectory,,map,,,-7.250592053,5.375957183,1764589628.774150133
trajectory,,map,,,-7.836864267,5.458413237,1764589629.182814121
trajectory,,map,,,-8.331467999,5.549261378,1764589629.486654282
trajectory,,map,,,-8.961075566,5.630950867,1764589629.895305395
