record_type,dataset,label,queries,lower_weight,upper_weight,recall_at_1_percent,recall_at_5_percent,delta_r1_from_equal_pp
condition,ih_native,IH native,320,0.0,1.0,65.625000000,85.625000000,-4.062500000
condition,ih_native,IH native,320,0.1,0.9,66.250000000,86.875000000,-3.437500000
condition,ih_native,IH native,320,0.2,0.8,67.812500000,87.500000000,-1.875000000
condition,ih_native,IH native,320,0.3,0.7,69.062500000,86.875000000,-0.625000000
condition,ih_native,IH native,320,0.4,0.6,69.687500000,86.562500000,0.000000000
condition,ih_native,IH native,320,0.5,0.5,69.687500000,85.937500000,0.000000000
condition,ih_native,IH native,320,0.6,0.4,69.062500000,85.000000000,-0.625000000
condition,ih_native,IH native,320,0.7,0.3,68.125000000,83.437500000,-1.562500000
condition,ih_native,IH native,320,0.8,0.2,66.250000000,82.500000000,-3.437500000
condition,ih_native,IH native,320,0.9,0.1,65.312500000,81.875000000,-4.375000000
condition,ih_native,IH native,320,1.0,0.0,64.687500000,80.625000000,-5.000000000
condition,ih_gravity,IH +G,320,0.0,1.0,65.937500000,85.937500000,-2.812500000
condition,ih_gravity,IH +G,320,0.1,0.9,66.562500000,86.250000000,-2.187500000
condition,ih_gravity,IH +G,320,0.2,0.8,68.750000000,86.875000000,0.000000000
condition,ih_gravity,IH +G,320,0.3,0.7,69.375000000,86.875000000,0.625000000
condition,ih_gravity,IH +G,320,0.4,0.6,69.062500000,85.625000000,0.312500000
condition,ih_gravity,IH +G,320,0.5,0.5,68.750000000,84.375000000,0.000000000
condition,ih_gravity,IH +G,320,0.6,0.4,69.062500000,82.812500000,0.312500000
condition,ih_gravity,IH +G,320,0.7,0.3,68.437500000,82.812500000,-0.312500000
condition,ih_gravity,IH +G,320,0.8,0.2,65.937500000,80.937500000,-2.812500000
condition,ih_gravity,IH +G,320,0.9,0.1,64.687500000,80.937500000,-4.062500000
condition,ih_gravity,IH +G,320,1.0,0.0,64.062500000,80.312500000,-4.687500000
condition,ch_native,CH native,148,0.0,1.0,44.594594595,68.918918919,-4.054054054
condition,ch_native,CH native,148,0.1,0.9,46.621621622,69.594594595,-2.027027027
condition,ch_native,CH native,148,0.2,0.8,50.000000000,68.918918919,1.351351351
condition,ch_native,CH native,148,0.3,0.7,51.351351351,70.270270270,2.702702703
condition,ch_native,CH native,148,0.4,0.6,52.027027027,68.918918919,3.378378378
condition,ch_native,CH native,148,0.5,0.5,48.648648649,71.621621622,0.000000000
condition,ch_native,CH native,148,0.6,0.4,47.297297297,69.594594595,-1.351351351
condition,ch_native,CH native,148,0.7,0.3,44.594594595,68.918918919,-4.054054054
condition,ch_native,CH native,148,0.8,0.2,42.567567568,66.216216216,-6.081081081
condition,ch_native,CH native,148,0.9,0.1,41.216216216,63.513513514,-7.432432432
condition,ch_native,CH native,148,1.0,0.0,37.162162162,60.810810811,-11.486486486
condition,ch_gravity,CH +G,148,0.0,1.0,56.081081081,83.108108108,-5.405405405
condition,ch_gravity,CH +G,148,0.1,0.9,58.108108108,85.135135135,-3.378378378
condition,ch_gravity,CH +G,148,0.2,0.8,60.810810811,83.108108108,-0.675675676
condition,ch_gravity,CH +G,148,0.3,0.7,64.189189189,87.162162162,2.702702703
condition,ch_gravity,CH +G,148,0.4,0.6,64.189189189,88.513513514,2.702702703
